flag_id,primitive,stratum,locus,edge,term_label,section,blanket,in_stratum_d_census,evidence,section_heading,section_excerpt,verdict,rationale
F00082,K-A3,A,L0,,disabled beneficiaries,404.1599,False,False,"DisabledBeneficiaries is asserted only under the BFO root(s) ['BFO_0000023'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Work incentive experiments and rehabilitation demonstration projects in the disability program.,"(a) Authority and purpose. Section 505(a) of the Social Security Disability Amendments of 1980, Pub. L. 96-265, directs the Commissioner to develop and conduct experiments and demonstration projects designed to provide more cost-effective ways of encouraging disabled beneficiaries to return to work and leave benefit rolls. These experiments and demonstration projects will test the advantages and disadvantages of altering certain limitations and conditions that apply to title II disabled beneficiaries. The objective of all work incentive experiments or rehabilitation demonstrations is to determine whether the alternative requirements will save Trust Fund monies or otherwise improve the admini",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00084,K-A3,A,L1,,doctor's office,App1-112.00,True,False,"DoctorSOffice is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",112.00 Mental Disorders,"A. How are the listings for mental disorders for children arranged, and what do they require? 1. The listings for mental disorders for children are arranged in 12 categories: neurocognitive disorders (112.02); schizophrenia spectrum and other psychotic disorders (112.03); depressive, bipolar and related disorders (112.04); intellectual disorder (112.05); anxiety and obsessive-compulsive disorders (112.06); somatic symptom and related disorders (112.07); personality and impulse-control disorders (112.08); autism spectrum disorder (112.10); neurodevelopmental disorders (112.11); eating disorders (112.13); developmental disorders in infants and toddlers (112.14); and trauma- and stressor-relate",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00102,K-A3,A,L1,,Federal Advisory Committee,404.1574,True,False,"FederalAdvisoryCommittee is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Evaluation guides if you are an employee.,"(a) We use several guides to decide whether the work you have done shows that you are able to do substantial gainful activity. If you are working or have worked as an employee, we will use the provisions in paragraphs (a) through (d) of this section that are relevant to your work activity. We will use these provisions whenever they are appropriate, whether in connection with your application for disability benefits (when we make an initial determination on your application and throughout any appeals you may request), after you have become entitled to a period of disability or to disability benefits, or both. (1) Your earnings may show you have done substantial gainful activity. Generally, in",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00104,K-A3,A,L1,,Federal agency,404.988,True,False,"FederalAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Conditions for reopening.,"A determination, revised determination, decision, or revised decision may be reopened— (a) Within 12 months of the date of the notice of the initial determination, for any reason; (b) Within four years of the date of the notice of the initial determination if we find good cause, as defined in § 404.989, to reopen the case; or (c) At any time if— (1) It was obtained by fraud or similar fault (see § 416.1488(c) of this chapter for factors which we take into account in determining fraud or similar fault); (2) Another person files a claim on the same earnings record and allowance of the claim adversely affects your claim; (3) A person previously determined to be dead, and on whose earnings recor",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00119,K-A3,A,L2,,Genitourinary Disorder Evaluation Rule,App1-106.00,False,False,"GenitourinaryEvaluationRule is asserted only under the BFO root(s) ['BFO_0000031'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",106.00 Genitourinary Disorders,"A. Which disorders do we evaluate under these listings? We evaluate genitourinary disorders resulting in chronic kidney disease (CKD). Examples of such disorders include chronic glomerulonephritis, hypertensive nephropathy, diabetic nephropathy, chronic obstructive uropathy, and hereditary nephropathies. We also evaluate nephrotic syndrome due to glomerular dysfunction, and congenital genitourinary disorders, such as ectopic ureter, exstrophic urinary bladder, urethral valves, and Eagle-Barrett syndrome (prune belly syndrome), under these listings. B. What evidence do we need? 1. We need evidence that documents the signs, symptoms, and laboratory findings of your CKD. This evidence should in",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00126,K-A3,A,L0,,Growing Child,UNATTRIBUTED,True,False,"GrowingChild is asserted only under the BFO root(s) ['BFO_0000040'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",,,translation,"A bare class with no differentia and no trace to any section of the acquired corpus. Nothing in the regulation corresponds to it, so the defect cannot belong to the regulation."
F00128,K-A3,A,L1,,Health Care Financing Administration,404.1579,True,False,"HealthCareFinancingAdministration is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",How we will determine whether your disability continues or ends.,"(a) General. (1) The rules for determining whether disability continues for widow's or widower's monthly benefits for months after December 1990 are discussed in §§ 404.1594 through 404.1598. The rules for determining whether disability continues for monthly benefits for months prior to January 1991 are discussed in paragraph (a)(2) of this section and paragraphs (b) through (h) of this section. (2) If you are entitled to disability benefits as a disabled widow, widower, or surviving divorced spouse, and we must decide whether your disability continued or ended for monthly benefits for months prior to January 1991, there are a number of factors we consider in deciding whether your disability",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00141,K-A3,A,L0,,Hyperventilation,App1-4.00,True,False,"Hyperventilation is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",4.00 Cardiovascular System,"A. General 1. What do we mean by a cardiovascular impairment? a. We mean any disorder that affects the proper functioning of the heart or the circulatory system (that is, arteries, veins, capillaries, and the lymphatic drainage). The disorder can be congenital or acquired. b. Cardiovascular impairment results from one or more of four consequences of heart disease: (i) Chronic heart failure or ventricular dysfunction. (ii) Discomfort or pain due to myocardial ischemia, with or without necrosis of heart muscle. (iii) Syncope, or near syncope, due to inadequate cerebral perfusion from any cardiac cause, such as obstruction of flow or disturbance in rhythm or conduction resulting in inadequate c",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00146,K-A3,A,L0,,Impaired Contraction,App1-114.00,True,False,"ImpairedContraction is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",114.00 Immune System Disorders,"A. What disorders do we evaluate under the immune system disorders listings? 1. We evaluate immune system disorders that cause dysfunction in one or more components of your immune system. a. The dysfunction may be due to problems in antibody production, impaired cell-mediated immunity, a combined type of antibody/cellular deficiency, impaired phagocytosis, or complement deficiency. b. Immune system disorders may result in recurrent and unusual infections, or inflammation and dysfunction of the body's own tissues. Immune system disorders can cause a deficit in a single organ or body system that results in extreme (that is, very serious) loss of function. They can also cause lesser degrees of ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00150,K-A3,A,L2,,institutional criterion,404.1520,False,False,"InstitutionalCriterion is asserted only under the BFO root(s) ['BFO_0000031'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Evaluation of disability in general.,"(a) General—(1) Purpose of this section. This section explains the five-step sequential evaluation process we use to decide whether you are disabled, as defined in § 404.1505. (2) Applicability of these rules. These rules apply to you if you file an application for a period of disability or disability insurance benefits (or both) or for child's insurance benefits based on disability. They also apply if you file an application for widow's or widower's benefits based on disability for months after December 1990. (See § 404.1505(a).) (3) Evidence considered. We will consider all evidence in your case record when we make a determination or decision whether you are disabled. See § 404.1520b. (4) ",translation,"An abstract spine class authored by this build in Phase 4. It carries a BFO parent and no differentia because its job is to hold a branch together. That is a design decision of the artifact, so the vacuity belongs to the translation."
F00151,K-A3,A,L6,,institutional effect,404.1505,False,False,"InstitutionalEffect is asserted only under the BFO root(s) ['BFO_0000017'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Basic definition of disability.,"(a) The law defines disability as the inability to do any substantial gainful activity by reason of any medically determinable physical or mental impairment which can be expected to result in death or which has lasted or can be expected to last for a continuous period of not less than 12 months. To meet this definition, you must have a severe impairment(s) that makes you unable to do your past relevant work (see § 404.1560(b)) or any other substantial gainful work that exists in the national economy. If your severe impairment(s) does not meet or medically equal a listing in appendix 1, we will assess your residual functional capacity as provided in §§ 404.1520(e) and 404.1545. (See §§ 404.15",translation,"An abstract spine class authored by this build in Phase 4. It carries a BFO parent and no differentia because its job is to hold a branch together. That is a design decision of the artifact, so the vacuity belongs to the translation."
F00162,K-A3,A,L0,,Jurisdiction,404.984,False,False,"Jurisdiction is asserted only under the BFO root(s) ['BFO_0000029'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Appeals Council review of hearing decision in a case remanded by a Federal court.,"(a) General. In accordance with § 404.983, when a case is remanded by a Federal court for further consideration and the Appeals Council remands the case to an administrative law judge, or an administrative appeals judge issues a decision pursuant to § 404.983(c), the decision of the administrative law judge or administrative appeals judge will become the final decision of the Commissioner after remand on your case unless the Appeals Council assumes jurisdiction of the case. The Appeals Council may assume jurisdiction, using the standard set forth in § 404.970, based on written exceptions to the decision which you file with the Appeals Council or based on its authority pursuant to paragraph (",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00165,K-A3,A,L2,,Legal Document,404.1520a,False,False,"LegalDocument is asserted only under the BFO root(s) ['BFO_0000031'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Evaluation of mental impairments.,"(a) General. The steps outlined in § 404.1520 apply to the evaluation of physical and mental impairments. In addition, when we evaluate the severity of mental impairments for adults (persons age 18 and over) and in persons under age 18 when Part A of the Listing of Impairments is used, we must follow a special technique at each level in the administrative review process. We describe this special technique in paragraphs (b) through (e) of this section. Using the technique helps us: (1) Identify the need for additional evidence to determine impairment severity; (2) Consider and evaluate functional consequences of the mental disorder(s) relevant to your ability to work; and (3) Organize and pre",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00167,K-A3,A,L3,,Legal Role,UNATTRIBUTED,False,False,"LegalRole is asserted only under the BFO root(s) ['BFO_0000023'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",,,translation,"A bare class with no differentia and no trace to any section of the acquired corpus. Nothing in the regulation corresponds to it, so the defect cannot belong to the regulation."
F00168,K-A3,A,L3,,Legal Status,UNATTRIBUTED,False,False,"LegalStatus is asserted only under the BFO root(s) ['BFO_0000023'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",,,translation,"A bare class with no differentia and no trace to any section of the acquired corpus. Nothing in the regulation corresponds to it, so the defect cannot belong to the regulation."
F00174,K-A3,A,L1,,local social security office,404.1595,True,False,"LocalSocialSecurityOffice is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",When we determine that you are not now disabled.,"(a) When we will give you advance notice. Except in those circumstances described in paragraph (d) of this section, we will give you advance notice when we have determined that you are not now disabled because the information we have conflicts with what you have told us about your disability. If your dependents are receiving benefits on your Social Security number and do not live with you, we will also give them advance notice. To give you advance notice, we will contact you by mail, telephone or in person. (b) What the advance notice will tell you. We will give you a summary of the information we have. We will also tell you why we have determined that you are not now disabled, and will give",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00186,K-A3,A,L0,,Metabolism,App1-9.00,True,False,"Metabolism is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",9.00 Endocrine Disorders,"A. What is an endocrine disorder? An endocrine disorder is a medical condition that causes a hormonal imbalance. When an endocrine gland functions abnormally, producing either too much of a specific hormone (hyperfunction) or too little (hypofunction), the hormonal imbalance can cause various complications in the body. The major glands of the endocrine system are the pituitary, thyroid, parathyroid, adrenal, and pancreas. B. How do we evaluate the effects of endocrine disorders? We evaluate impairments that result from endocrine disorders under the listings for other body systems. For example: 1. Pituitary gland disorders can disrupt hormone production and normal functioning in other endocri",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00190,K-A3,A,L0,,Muscle Strength,App1-1.00,False,False,"MuscleStrength is asserted only under the BFO root(s) ['BFO_0000016'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",1.00 Musculoskeletal Disorders,"A. Which musculoskeletal disorders do we evaluate under these listings? 1. We evaluate disorders of the skeletal spine (vertebral column) or of the upper or lower extremities that affect musculoskeletal functioning under these listings. We use the term “skeletal” when we are referring to the structure of the bony skeleton. The skeletal spine refers to the bony structures, ligaments, and discs making up the spine. We refer to the skeletal spine in some musculoskeletal listings to differentiate it from the neurological spine (see 1.00B1). Musculoskeletal disorders may be congenital or acquired, and may include deformities, amputations, or other abnormalities. These disorders may involve the bo",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00209,K-A3,A,L1,,Office,404.999c,True,False,"Office is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",What travel expenses are reimbursable.,"Reimbursable travel expenses include the ordinary expenses of public or private transportation as well as unusual costs due to special circumstances. (a) Reimbursement for ordinary travel expenses is limited— (1) To the cost of travel by the most economical and expeditious means of transportation available and appropriate to the individual's condition of health as determined by the State agency or by us, considering the available means in the following order— (i) Common carrier (air, rail, or bus); (ii) Privately owned vehicles; (iii) Commercially rented vehicles and other special conveyances; (2) If air travel is necessary, to the coach fare for air travel between the specified travel point",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00225,K-A3,A,L1,,Post Office,404.1596,True,False,"PostOffice is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Circumstances under which we may suspend and terminate your benefits before we make a determination.,"(a) General. Under some circumstances, we may stop your benefits before we make a determination. Generally, we do this when the information we have clearly shows you are not now disabled but we cannot determine when your disability ended. These situations are described in paragraph (b)(1) and other reasons are given in paragraph (b)(2) of this section. We refer to this as a suspension of benefits. Your benefits, as well as those of your dependents (regardless of where they receive their benefits), may be suspended. When we do this we will give you advance notice. (See § 404.1595.) We will contact your spouse and children if they are receiving benefits on your Social Security number, and the ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00226,K-A3,A,L0,,Postural Control,App1-111.00,False,False,"PosturalControl is asserted only under the BFO root(s) ['BFO_0000016'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",111.00 Neurological Disorders,"A. Which neurological disorders do we evaluate under these listings? We evaluate epilepsy, coma or persistent vegetative state (PVS), and neurological disorders that cause disorganization of motor function, bulbar and neuromuscular dysfunction, or communication impairment. Under this body system, we evaluate the limitations resulting from the impact of the neurological disease process itself. If you have a neurological disorder(s) that affects your physical and mental functioning, we will evaluate your impairments under the rules we use to determine functional equivalence. If your neurological disorder results in only mental impairment or if you have a co-occurring mental condition that is n",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00228,K-A3,A,L1,,precedential circuit court,404.985,True,False,"PrecedentialCircuitCourt is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Application of circuit court law.,"The procedures which follow apply to administrative determinations or decisions on claims involving the application of circuit court law. (a) General. We will apply a holding in a United States Court of Appeals decision that we determine conflicts with our interpretation of a provision of the Social Security Act or regulations unless the Government seeks further judicial review of that decision or we relitigate the issue presented in the decision in accordance with paragraphs (c) and (d) of this section. We will apply the holding to claims at all levels of the administrative review process within the applicable circuit unless the holding, by its nature, applies only at certain levels of adju",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00230,K-A3,A,L4,,presented fact,404.1512,False,False,"PresentedFact is asserted only under the BFO root(s) ['BFO_0000031'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Responsibility for evidence.,"(a) Your responsibility—(1) General. In general, you have to prove to us that you are blind or disabled. You must inform us about or submit all evidence known to you that relates to whether or not you are blind or disabled (see § 404.1513). This duty is ongoing and requires you to disclose any additional related evidence about which you become aware. This duty applies at each level of the administrative review process, including the Appeals Council level if the evidence relates to the period on or before the date of the administrative law judge hearing decision. We will consider only impairment(s) you say you have or about which we receive evidence. When you submit evidence received from ano",translation,"An abstract spine class authored by this build in Phase 4. It carries a BFO parent and no differentia because its job is to hold a branch together. That is a design decision of the artifact, so the vacuity belongs to the translation."
F00242,K-A3,A,L5,,recognition act,404.900,True,False,"RecognitionAct is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Introduction.,"(a) Explanation of the administrative review process. This subpart explains the procedures we follow in determining your rights under title II of the Social Security Act. The regulations describe the process of administrative review and explain your right to judicial review after you have taken all the necessary administrative steps. These procedures apply also to persons claiming certain benefits under title XVIII of the Act (Medicare); see 42 CFR 405.904(a)(1). The administrative review process consists of several steps, which usually must be requested within certain time periods and in the following order: (1) Initial determination. This is a determination we make about your entitlement o",translation,"An abstract spine class authored by this build in Phase 4. It carries a BFO parent and no differentia because its job is to hold a branch together. That is a design decision of the artifact, so the vacuity belongs to the translation."
F00247,K-A3,A,L1,,regularly analyze State agency,404.1660,True,False,"RegularlyAnalyzeStateAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",How we will monitor.,"We will regularly analyze State agency combined title II and title XVI initial performance accuracy rate, title II initial processing time, and title XVI initial processing time. Within budgeted resources, we will also routinely conduct fiscal and administrative management reviews and special onsite reviews. A fiscal and administrative management review is a fact-finding mission to review particular aspects of State agency operations. During these reviews we will also review the quality assurance function. This regular monitoring and review program will allow us to determine the progress each State is making and the type and extent of performance support we will provide to help the State pro",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
